start,end,name
372.58,373.08,PostStimSilence
373.67,379.171,TRIAL
373.67,379.17,STIM_SE2-17_Wild_Dogs.wav
373.67,379.17,REFERENCE
373.67,375.67,PreStimSilence
378.67,379.17,PostStimSilence
379.64,385.14099999999996,TRIAL
379.64,385.14,STIM_applause-foreground_clapper.wav
379.64,385.14,REFERENCE
379.64,381.64,PreStimSilence
384.64,385.14,PostStimSilence
385.57,391.07099999999997,TRIAL
385.57,391.07,STIM_ferretmixed35.wav
385.57,391.07,REFERENCE
385.57,387.57,PreStimSilence
390.57,391.07,PostStimSilence
391.5,397.001,TRIAL
391.5,397.0,STIM_ferretmixed11.wav
391.5,397.0,REFERENCE
391.5,393.5,PreStimSilence
396.5,397.0,PostStimSilence
397.59,403.09099999999995,TRIAL
397.59,403.09,STIM_SE4-04_African_Drums.wav
397.59,403.09,REFERENCE
397.59,399.59,PreStimSilence
402.59,403.09,PostStimSilence
403.59,409.09099999999995,TRIAL
403.59,409.09,STIM_Oxford_male2d.wav
403.59,409.09,REFERENCE
403.59,405.59,PreStimSilence
408.59,409.09,PostStimSilence
409.53,415.03099999999995,TRIAL
409.53,415.03,STIM_00ferretmixed41.wav
409.53,415.03,REFERENCE
409.53,411.53,PreStimSilence
414.53,415.03,PostStimSilence
415.4,420.90099999999995,TRIAL
415.4,420.9,STIM_ferretmixed25.wav
415.4,420.9,REFERENCE
415.4,417.4,PreStimSilence
420.4,420.9,PostStimSilence
421.39,426.89099999999996,TRIAL
421.39,426.89,STIM_Tambourine_Shaking.wav
421.39,426.89,REFERENCE
421.39,423.39,PreStimSilence
426.39,426.89,PostStimSilence
427.36,432.861,TRIAL
427.36,432.86,STIM_Motorcycle_Leaving.wav
427.36,432.86,REFERENCE
427.36,429.36,PreStimSilence
432.36,432.86,PostStimSilence
433.46,438.96099999999996,TRIAL
433.46,438.96,STIM_Oxford_male3b.wav
433.46,438.96,REFERENCE
433.46,435.46,PreStimSilence
438.46,438.96,PostStimSilence
439.51,445.01099999999997,TRIAL
439.51,445.01,STIM_ferretmixed09.wav
439.51,445.01,REFERENCE
439.51,441.51,PreStimSilence
444.51,445.01,PostStimSilence
445.47,450.971,TRIAL
445.47,450.97,STIM_corkscrew_against_desk_edge.wav
445.47,450.97,REFERENCE
445.47,447.47,PreStimSilence
450.47,450.97,PostStimSilence
451.46,456.96099999999996,TRIAL
451.46,456.96,STIM_chewing_carrots2.wav
451.46,456.96,REFERENCE
451.46,453.46,PreStimSilence
456.46,456.96,PostStimSilence
457.49,462.991,TRIAL
457.49,462.99,STIM_ferret_babble.wav
457.49,462.99,REFERENCE
457.49,459.49,PreStimSilence
462.49,462.99,PostStimSilence
463.61,469.111,TRIAL
463.61,469.11,STIM_00ferretmixed42.wav
463.61,469.11,REFERENCE
